@relation career_satisfaction_5class_kuet_classification

@attribute Years_Since_Grad numeric
@attribute Professional_Status {'Currently seeking a job', Employed, 'Founder / Entrepreneur', 'Higher studies'}
@attribute Univ_Studies_Effect numeric
@attribute Help_Lecture numeric
@attribute Help_Lab numeric
@attribute Help_Thesis numeric
@attribute Help_Club numeric
@attribute Help_Alumni numeric
@attribute Club_Count numeric
@attribute Internship_Exp numeric
@attribute Projects_Built numeric
@attribute GitHub_Habit numeric
@attribute Contest_Involvement numeric
@attribute Problem_Solving numeric
@attribute Current_Domain {Academia, Cybersecurity, 'Data Science / ML / AI', 'Database Administration', Entrepreneurship, 'Government Service', 'Networking / DevOps / Cloud', 'Not Applicable', 'Software Engineer', 'Web Developer'}
@attribute Domain_Switched numeric
@attribute Domain_Shift_Intent numeric
@attribute AI_Usage_Freq numeric
@attribute AI_Concerns_Opinion {Concerned, Neutral, Positive}
@attribute AI_Reliance numeric
@attribute Career_Satisfaction {'Very Dissatisfied', Dissatisfied, Neutral, Satisfied, 'Very Satisfied'}

@data
3,Employed,5,4,4,2,2,3,4,0,3,1,1,3,Academia,0,2,3,Neutral,4,Satisfied
3,'Higher studies',5,5,4,3,1,2,3,0,5,1,1,2,Academia,0,0,2,Concerned,2,'Very Satisfied'
1,Employed,5,3,1,4,2,5,3,0,5,1,2,5,'Software Engineer',0,0,3,Neutral,5,'Very Satisfied'
3,Employed,2,2,1,4,5,3,1,0,5,2,3,4,'Software Engineer',0,0,3,Neutral,4,'Very Satisfied'
1,Employed,5,3,2,5,1,4,1,0,5,1,0,3,Cybersecurity,0,1,2,Neutral,3,'Very Satisfied'
3,Employed,5,3,2,4,1,5,1,1,5,2,2,4,'Software Engineer',1,0,1,Concerned,4,'Very Satisfied'
3,Employed,1,1,3,2,4,1,2,0,5,0,3,3,'Software Engineer',0,1,3,Neutral,1,Satisfied
3,Employed,4,4,5,4,4,2,3,0,5,1,2,4,'Software Engineer',0,1,3,Positive,3,Satisfied
3,Employed,5,4,3,5,1,2,2,0,5,2,2,4,'Data Science / ML / AI',1,0,2,Neutral,4,'Very Satisfied'
4,Employed,4,3,2,5,4,1,1,0,5,0,0,3,'Software Engineer',0,0,2,Concerned,4,'Very Satisfied'
4,Employed,5,5,3,4,1,2,2,1,5,2,3,5,'Data Science / ML / AI',1,0,3,Positive,5,'Very Satisfied'
0,Employed,5,4,3,5,1,2,1,1,5,2,1,4,'Web Developer',0,2,3,Neutral,5,Dissatisfied
1,Employed,5,4,4,4,2,3,1,0,5,2,1,3,Academia,0,0,3,Neutral,4,'Very Satisfied'
2,Employed,5,4,4,4,1,2,1,0,5,2,2,3,Academia,0,1,3,Neutral,3,Neutral
4,Employed,3,3,3,3,1,1,0,1,5,1,0,4,'Software Engineer',0,1,3,Positive,4,Satisfied
4,Employed,3,2,5,4,2,3,0,0,3,1,1,3,'Database Administration',0,2,3,Neutral,4,Neutral
4,'Higher studies',5,5,5,5,2,3,1,0,5,1,1,4,Academia,0,0,3,Positive,4,Satisfied
4,Employed,3,4,5,5,4,4,1,1,5,0,2,3,'Software Engineer',0,2,3,Neutral,4,Neutral
1,Employed,5,4,3,5,1,2,2,0,5,2,3,5,'Software Engineer',0,0,2,Neutral,4,'Very Satisfied'
2,Employed,5,5,5,4,4,3,1,0,5,1,1,4,Academia,0,0,1,Neutral,2,Satisfied
1,Employed,5,3,2,5,1,4,2,1,5,1,1,3,'Software Engineer',0,0,3,Neutral,5,'Very Satisfied'
1,'Currently seeking a job',3,1,2,4,3,5,1,0,5,1,0,3,'Not Applicable',0,2,2,Neutral,3,Dissatisfied
4,'Currently seeking a job',2,4,1,2,5,3,1,0,5,1,1,3,'Software Engineer',0,2,3,Positive,4,Neutral
1,Employed,5,4,5,4,1,2,1,0,5,1,1,4,Academia,0,2,1,Positive,1,Satisfied
3,Employed,2,1,2,4,4,5,2,1,5,2,1,3,'Software Engineer',0,0,3,Positive,5,Satisfied
7,Employed,1,1,1,4,4,5,2,0,1,1,0,3,'Software Engineer',0,0,3,Neutral,4,Satisfied
7,Employed,0,1,1,1,2,5,2,0,5,1,0,2,'Software Engineer',0,0,3,Neutral,5,'Very Satisfied'
6,Employed,2,5,2,3,3,5,3,0,5,2,0,2,'Government Service',1,0,0,Neutral,1,'Very Satisfied'
5,Employed,0,2,2,3,4,5,2,0,5,1,0,1,'Government Service',0,0,0,Positive,1,'Very Satisfied'
6,Employed,2,1,2,3,3,5,2,0,4,1,0,3,'Government Service',0,0,0,Neutral,1,Neutral
6,Employed,1,1,1,2,4,5,3,0,5,1,2,3,'Networking / DevOps / Cloud',0,2,3,Positive,5,Satisfied
7,Employed,2,1,1,1,3,5,0,0,5,1,1,4,'Software Engineer',0,0,3,Neutral,5,Dissatisfied
4,'Higher studies',2,1,1,4,4,5,1,0,5,2,0,3,'Software Engineer',0,2,3,Concerned,5,Dissatisfied
5,Employed,0,1,1,2,4,5,1,0,5,1,1,4,'Government Service',0,0,0,Positive,1,'Very Satisfied'
6,Employed,0,1,1,1,1,4,0,0,5,0,0,2,'Government Service',0,0,0,Positive,1,'Very Satisfied'
2,Employed,0,1,1,3,4,5,3,1,5,2,1,5,'Software Engineer',1,0,3,Neutral,5,Satisfied
4,'Higher studies',4,3,3,4,1,1,0,0,5,1,3,3,Academia,0,0,1,Neutral,2,Dissatisfied
5,'Founder / Entrepreneur',3,1,2,3,1,4,1,1,5,1,1,2,Entrepreneurship,0,0,2,Concerned,3,Neutral
1,Employed,2,5,3,4,1,2,0,0,5,0,1,3,'Software Engineer',0,0,3,Concerned,2,Neutral
2,Employed,4,4,5,5,3,3,2,0,5,1,1,3,Academia,0,1,3,Positive,2,Satisfied
3,Employed,3,5,2,4,1,3,1,1,5,1,1,3,'Software Engineer',0,0,2,Concerned,2,Satisfied
1,'Higher studies',4,2,4,3,3,1,2,1,5,2,0,3,Academia,1,0,2,Positive,2,Neutral
7,'Higher studies',5,4,1,5,2,3,2,0,5,2,2,3,Academia,1,0,2,Positive,2,Satisfied
4,Employed,4,4,5,1,2,3,3,1,5,1,0,2,'Government Service',0,0,0,Neutral,2,Dissatisfied
2,Employed,3,4,1,3,3,2,1,0,5,0,2,4,'Data Science / ML / AI',0,0,1,Concerned,2,Neutral
4,Employed,4,5,3,4,1,1,2,0,5,2,1,5,'Government Service',0,0,3,Neutral,5,Dissatisfied
4,'Founder / Entrepreneur',3,4,3,5,1,2,1,1,5,2,3,4,Entrepreneurship,1,0,0,Concerned,1,Satisfied
1,'Higher studies',3,2,5,3,1,4,0,1,5,1,1,3,Academia,1,0,2,Neutral,3,Satisfied
1,'Higher studies',4,5,3,1,3,4,2,0,5,1,3,5,Academia,1,0,3,Positive,4,Neutral
1,'Higher studies',4,1,4,2,3,5,1,1,5,1,2,3,Academia,1,0,2,Concerned,4,'Very Satisfied'
3,Employed,3,1,2,4,5,3,1,1,5,2,0,3,'Networking / DevOps / Cloud',1,2,3,Concerned,2,'Very Satisfied'
2,Employed,5,2,1,5,4,3,1,1,5,2,0,3,'Networking / DevOps / Cloud',1,2,3,Neutral,3,Neutral
2,Employed,5,2,1,5,4,3,1,1,5,2,0,3,'Networking / DevOps / Cloud',1,2,3,Neutral,3,Neutral
2,Employed,3,5,1,3,2,4,2,1,5,1,1,3,'Data Science / ML / AI',0,1,3,Positive,4,Satisfied
2,Employed,4,2,4,5,3,1,4,0,4,1,1,4,'Software Engineer',1,1,3,Positive,4,Neutral
1,'Founder / Entrepreneur',2,4,5,3,1,1,0,1,5,0,0,2,'Government Service',0,0,2,Positive,4,Neutral
3,Employed,5,5,3,2,1,1,1,1,5,0,1,2,'Software Engineer',0,0,1,Concerned,2,Neutral
7,Employed,3,2,4,3,3,1,2,1,5,1,0,2,'Web Developer',0,0,1,Neutral,2,Neutral
1,'Higher studies',3,3,2,5,1,1,0,0,5,1,2,3,Academia,1,0,1,Neutral,2,Neutral
7,Employed,3,3,5,4,3,1,2,1,5,1,1,3,'Software Engineer',1,0,0,Concerned,1,Satisfied
4,Employed,3,2,5,1,3,4,3,1,5,1,1,4,'Data Science / ML / AI',0,0,3,Neutral,3,'Very Satisfied'
2,Employed,3,1,4,3,2,2,2,0,3,1,1,3,'Software Engineer',0,1,3,Concerned,4,Satisfied
3,Employed,4,2,4,1,4,3,2,1,5,2,2,4,'Software Engineer',0,0,3,Positive,3,Satisfied
1,Employed,2,4,2,5,3,1,1,0,5,2,1,3,'Software Engineer',1,0,3,Concerned,3,'Very Satisfied'
2,Employed,2,1,3,5,2,2,2,0,5,1,3,5,'Software Engineer',0,0,3,Concerned,3,Satisfied
2,Employed,4,5,1,3,3,2,2,0,5,1,2,4,Academia,0,0,2,Positive,3,Satisfied
0,'Currently seeking a job',5,2,5,3,3,1,2,1,5,2,1,5,'Web Developer',0,2,3,Positive,3,Dissatisfied
0,'Currently seeking a job',2,5,3,4,3,2,2,1,5,1,2,3,'Web Developer',0,2,3,Positive,4,Satisfied
5,Employed,4,5,4,1,3,2,1,1,4,2,2,2,'Software Engineer',0,0,3,Neutral,4,Neutral
3,Employed,4,5,2,1,3,4,1,0,4,2,2,2,'Software Engineer',0,1,3,Concerned,4,'Very Satisfied'
1,Employed,4,5,2,1,4,3,2,0,5,1,1,3,'Software Engineer',0,0,2,Concerned,4,Satisfied
1,Employed,4,4,3,5,2,1,2,0,5,0,3,4,'Software Engineer',0,0,3,Concerned,5,Satisfied
2,Employed,3,5,3,1,4,2,1,1,5,0,2,4,'Software Engineer',0,0,3,Positive,4,'Very Satisfied'
1,Employed,5,5,4,2,1,3,1,1,4,0,1,3,'Software Engineer',0,0,3,Concerned,3,'Very Satisfied'
2,Employed,4,1,3,3,2,3,1,0,3,1,1,3,'Software Engineer',1,1,3,Positive,4,Satisfied
2,'Higher studies',5,5,2,4,1,3,3,0,4,2,1,3,Academia,1,0,2,Neutral,3,'Very Satisfied'
2,Employed,4,3,2,4,5,1,2,1,5,0,2,4,'Software Engineer',0,0,3,Concerned,4,'Very Satisfied'
2,Employed,5,3,2,5,1,4,1,0,4,1,0,3,'Software Engineer',1,0,2,Neutral,3,'Very Satisfied'
2,'Founder / Entrepreneur',5,5,1,4,2,3,2,1,5,2,3,5,'Software Engineer',0,1,2,Positive,4,'Very Satisfied'
2,Employed,4,3,4,4,3,2,3,0,4,2,1,4,Entrepreneurship,1,0,3,Positive,4,'Very Satisfied'
2,Employed,5,2,1,5,3,4,1,0,5,2,1,4,'Software Engineer',1,1,3,Concerned,5,Neutral
2,Employed,3,3,3,3,4,4,1,0,2,1,0,2,'Government Service',0,1,3,Neutral,5,Neutral
4,Employed,4,3,4,3,1,3,1,0,5,1,1,3,'Data Science / ML / AI',1,0,3,Positive,4,Satisfied
2,Employed,4,1,5,1,5,4,2,0,5,1,1,3,'Web Developer',0,0,3,Concerned,4,Satisfied
4,'Founder / Entrepreneur',3,2,4,4,2,1,1,1,5,2,0,3,'Web Developer',0,2,3,Positive,4,Satisfied
3,Employed,4,5,2,5,5,1,2,0,5,1,3,3,'Web Developer',0,2,3,Positive,5,'Very Satisfied'
2,Employed,4,3,1,2,3,3,1,0,5,2,3,5,Academia,0,1,1,Positive,3,'Very Satisfied'
4,'Higher studies',4,2,1,3,3,1,3,0,5,2,0,2,Academia,0,1,0,Concerned,1,Satisfied
3,'Currently seeking a job',0,2,2,3,1,2,1,0,5,2,2,4,'Software Engineer',0,2,3,Positive,5,Satisfied
2,'Currently seeking a job',4,5,4,1,3,5,4,1,5,0,2,4,'Web Developer',0,2,3,Positive,4,Satisfied
1,'Higher studies',0,1,3,1,3,3,3,0,5,2,0,3,'Software Engineer',0,2,3,Neutral,4,Satisfied
1,'Founder / Entrepreneur',0,4,1,3,5,3,3,0,5,2,2,5,'Software Engineer',0,0,3,Positive,4,Satisfied
3,'Higher studies',5,1,2,3,3,3,3,0,3,1,1,3,'Web Developer',0,0,3,Positive,4,Neutral
5,'Higher studies',3,4,3,1,4,1,3,0,2,1,0,3,Academia,0,0,3,Concerned,5,'Very Satisfied'
3,Employed,3,3,3,2,2,1,2,0,5,2,0,3,'Government Service',0,0,3,Neutral,5,'Very Satisfied'
1,Employed,2,2,5,1,4,5,3,0,5,0,1,5,'Database Administration',1,1,3,Neutral,5,Satisfied
6,Employed,3,3,1,4,1,4,2,0,5,2,1,3,'Software Engineer',0,0,3,Positive,3,Satisfied
1,Employed,3,5,4,2,1,5,3,0,5,1,3,4,Academia,0,1,3,Concerned,4,'Very Satisfied'
4,'Currently seeking a job',4,1,3,5,3,2,5,1,5,2,1,4,'Government Service',0,0,3,Concerned,3,Satisfied
4,Employed,3,5,1,3,3,4,2,1,5,0,2,3,Entrepreneurship,0,0,3,Neutral,3,Dissatisfied
3,Employed,4,2,2,3,5,2,1,1,4,2,2,3,'Web Developer',0,0,3,Concerned,4,'Very Dissatisfied'
4,Employed,4,5,3,2,5,4,1,0,5,2,3,4,Entrepreneurship,0,0,3,Positive,4,Satisfied
1,'Currently seeking a job',5,3,4,2,3,5,1,0,5,2,1,3,'Software Engineer',0,2,3,Concerned,4,Satisfied
1,Employed,3,5,4,1,2,5,2,1,1,1,1,2,Academia,0,2,2,Concerned,3,'Very Satisfied'
3,'Higher studies',4,1,4,3,1,2,2,0,5,2,3,2,'Networking / DevOps / Cloud',1,0,3,Positive,5,Satisfied
4,Employed,2,1,1,4,2,2,2,1,5,1,1,4,'Web Developer',0,0,3,Positive,5,'Very Satisfied'
1,Employed,3,1,2,1,4,4,3,1,3,2,2,3,'Data Science / ML / AI',1,0,3,Positive,3,'Very Satisfied'
2,'Founder / Entrepreneur',4,2,5,2,4,1,2,0,5,1,1,2,'Database Administration',1,2,3,Neutral,4,Neutral
1,'Currently seeking a job',0,4,3,1,3,4,1,0,5,2,1,4,'Software Engineer',0,0,3,Positive,4,Neutral
4,Employed,4,1,3,4,3,3,1,0,5,2,2,3,'Software Engineer',0,2,3,Positive,4,Satisfied
5,'Founder / Entrepreneur',3,2,4,5,5,4,2,1,5,1,2,3,Academia,1,0,3,Concerned,5,Satisfied
3,Employed,3,3,5,1,4,5,2,1,5,1,0,3,'Database Administration',0,1,3,Concerned,5,Satisfied
5,'Currently seeking a job',4,4,3,1,5,4,2,1,4,1,1,3,Academia,0,1,1,Neutral,2,Satisfied
2,'Founder / Entrepreneur',3,1,4,2,2,3,1,1,3,2,1,3,'Web Developer',0,2,3,Neutral,4,Satisfied
2,Employed,5,5,4,1,1,3,1,1,5,2,1,3,'Data Science / ML / AI',0,1,3,Neutral,5,Satisfied
2,'Higher studies',5,2,4,3,2,2,2,1,5,2,3,3,Academia,1,0,3,Positive,4,Dissatisfied
3,Employed,2,5,3,4,5,1,2,1,5,1,1,3,Academia,0,0,2,Neutral,3,'Very Satisfied'
